id,label,batch_id,ratio,filename,surface_target,style_block,negative_prompt,prompt
CHAR-01,Mascotte M1 portrait,character-batch-01,4:5,char-01-mascot-m1-portrait-4x5.png,"validation_style, avatar, guidance_cards","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted hands, extra limbs, blurry face, over-saturated neon colors, generic corporate background, photorealistic photo look","Premium civic mascot for a local public service mobile app in French Guiana, a small tropical sentinel bird, semi-realistic, expressive and intelligent eyes, warm and trustworthy, elegant silhouette, cinematic tropical light, deep green and laterite palette, friendly but not childish, premium polished rendering, simple detachable background, bust portrait three-quarter view, subtle hints of humid tropical atmosphere, no text"
CHAR-02,Mascotte M2 portrait,character-batch-01,4:5,char-02-mascot-m2-portrait-4x5.png,"validation_style, landing_hero","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted hands, extra limbs, blurry face, over-saturated neon colors, generic corporate background, photorealistic photo look","Premium territorial mascot for a civic mobile app in French Guiana, symbolic guardian creature, elegant and memorable, semi-realistic, warm but dignified, cinematic portrait composition, humid tropical atmosphere, refined palette inspired by forest, river and laterite, premium rendering, noble but approachable posture, no text"
CHAR-03,Mascotte M3 portrait,character-batch-01,4:5,char-03-mascot-m3-portrait-4x5.png,"validation_style, welcome_states","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted hands, extra limbs, blurry face, over-saturated neon colors, generic corporate background, photorealistic photo look","Premium tropical companion mascot for a civic mobile app in French Guiana, stylized tropical urban animal, semi-realistic, highly expressive, warm and memorable, strong silhouette, cinematic soft tropical light, polished premium rendering, detachable background, gentle energetic emotion, very readable face, no text"
CHAR-04,Agent A1 buste,character-batch-01,4:5,char-04-agent-a1-bust-4x5.png,"validation_style, incident_detail, admin_guidance","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted hands, extra limbs, blurry face, over-saturated neon colors, generic corporate background, photorealistic photo look","Premium municipal field agent for a civic mobile app in French Guiana, semi-realistic human character, calm and trustworthy, municipal workwear kept elegant and simple, warm tropical light, natural textures, cinematic bust framing, service-oriented attitude, credible public service presence, premium rendering, no text"
CHAR-05,Agent A2 buste,character-batch-01,4:5,char-05-agent-a2-bust-4x5.png,"validation_style, login, onboarding, notifications","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted hands, extra limbs, blurry face, over-saturated neon colors, generic corporate background, photorealistic photo look","Premium municipal citizen-relations agent for a civic mobile app in French Guiana, semi-realistic human character, warm, pedagogical and reassuring, simple municipal attire, expressive face, cinematic tropical light, polished premium rendering, credible public service presence, welcoming explanatory posture, no text"
CHAR-06,Duo hero M1 + A2,character-batch-01,16:9,char-06-duo-m1-a2-hero-16x9.png,"landing, login_hero, brand_reference","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted hands, extra limbs, blurry face, over-saturated neon colors, generic corporate background, photorealistic photo look","Premium civic duo for a mobile public service app in French Guiana, a small tropical sentinel bird mascot and a warm municipal citizen-relations agent, semi-realistic, cinematic, emotionally engaging, trustworthy, elegant, tropical humid atmosphere, lush vegetation hints, polished premium rendering, strong readable silhouettes, medium shot hero composition, no text"
CAT-01,Voirie badge V2,badge-batch-01,1:1,cat-01-road-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for road issues in French Guiana, semi-realistic simplified pothole or degraded roadway motif, laterite and wet-road cues, strong central subject, polished rendering, square composition, highly readable at small size, no text"
CAT-02,Eclairage badge V2,badge-batch-01,1:1,cat-02-lighting-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for street lighting issues in French Guiana, semi-realistic simplified lamp post with warm halo at dusk, tropical atmosphere cues, polished rendering, square composition, highly readable at small size, no text"
CAT-03,Espaces verts badge V2,badge-batch-01,1:1,cat-03-greenery-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for overgrown greenery in French Guiana, semi-realistic simplified tropical leaf and path obstruction motif, lush but readable, polished rendering, square composition, highly readable at small size, no text"
CAT-04,Proprete badge V2,badge-batch-01,1:1,cat-04-cleanliness-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for cleanliness and waste issues in French Guiana, semi-realistic simplified illegal dumping motif, clear pile or bag silhouette, polished rendering, square composition, highly readable at small size, no text"
CAT-05,Mobilier badge V2,badge-batch-01,1:1,cat-05-furniture-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for damaged urban furniture in French Guiana, semi-realistic simplified public bench or equipment motif, polished rendering, square composition, highly readable at small size, no text"
CAT-06,Reseaux badge V2,badge-batch-01,1:1,cat-06-networks-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for drainage, networks and flooding issues in French Guiana, semi-realistic simplified drain grate with flowing water motif, polished rendering, square composition, highly readable at small size, no text"
